Date,Temperature,Rainfall,Humidity,Temp_Anomaly,Temp_Moving_Avg,Rainfall_Anomaly
2023-04-01,28.39,0.35,39.71,3.992923076923077,25.843333333333334,-5.067846153846154
2023-05-01,29.22,0.25,51.8,4.822923076923075,27.596666666666668,-5.1678461538461535
2023-06-01,27.3,8.91,70.48,2.902923076923077,28.30333333333333,3.4921538461538466
2023-07-01,24.36,23.45,91.91,-0.03707692307692412,26.959999999999997,18.032153846153847
2023-08-01,23.8,2.99,89.19,-0.5970769230769228,25.153333333333332,-2.4278461538461533
2023-09-01,24.2,10.94,89.75,-0.19707692307692426,24.12,5.522153846153846
2023-10-01,23.21,0.17,76.63,-1.1870769230769227,23.736666666666668,-5.247846153846154
2023-11-01,22.12,1.19,68.1,-2.2770769230769226,23.176666666666666,-4.227846153846153
2023-12-01,21.11,0.02,61.17,-3.287076923076924,22.146666666666665,-5.397846153846154
,24.38,4.1,62.8,-0.017076923076924544,22.536666666666665,-1.317846153846154
2024-01-01,21.47,0.06,39.57,-2.9270769230769247,22.319999999999997,-5.357846153846154
2024-02-01,23.99,0.02,34.58,-0.4070769230769251,23.279999999999998,-5.397846153846154
2024-03-01,26.53,0.0,31.26,2.1329230769230776,23.996666666666666,-5.4178461538461535
2024-04-01,30.62,0.08,34.15,6.2229230769230774,27.046666666666667,-5.3378461538461535
2024-05-01,31.13,0.54,48.49,6.7329230769230755,29.426666666666666,-4.8778461538461535
2024-06-01,27.18,8.0,77.41,2.782923076923076,29.643333333333334,2.5821538461538465
2024-07-01,24.59,23.42,91.41,0.1929230769230763,27.633333333333336,18.00215384615385
2024-08-01,24.37,19.08,91.38,-0.027076923076922554,25.38,13.662153846153846
2024-09-01,23.67,14.18,91.63,-0.7270769230769218,24.209999999999997,8.762153846153847
2024-10-01,24.03,3.84,85.19,-0.3670769230769224,24.023333333333337,-1.5778461538461537
2024-11-01,19.98,0.0,74.37,-4.417076923076923,22.560000000000002,-5.4178461538461535
2024-12-01,20.1,0.49,67.11,-4.297076923076922,21.37,-4.927846153846153
,24.8,5.84,63.98,0.40292307692307716,21.626666666666665,0.4221538461538463
